name,overall,height_cm,weight_kg,Age,years_pro,position,APY,sport
Dak Prescott,87,188,108,30,7.0,QB,60000000.0,NFL
Trevor Lawrence,82,198,100,23,2.0,QB,55000000.0,NFL
Jordan Love,70,193,99,24,3.0,QB,55000000.0,NFL
Joe Burrow,95,193,98,26,3.0,QB,55000000.0,NFL
Tua Tagovailoa,83,185,98,25,3.0,QB,53100000.0,NFL
Jared Goff,80,193,101,28,7.0,QB,53000000.0,NFL
Justin Herbert,87,198,107,25,3.0,QB,52500000.0,NFL
Lamar Jackson,91,188,104,26,5.0,QB,52000000.0,NFL
Jalen Hurts,88,185,101,25,3.0,QB,51000000.0,NFL
Kyler Murray,79,178,94,26,4.0,QB,46100000.0,NFL
Deshaun Watson,78,190,101,27,6.0,QB,46000000.0,NFL
Kirk Cousins,84,190,93,35,11.0,QB,45000000.0,NFL
Patrick Mahomes,99,188,102,27,6.0,QB,45000000.0,NFL
Josh Allen,85,196,116,26,4.0,QB,43000000.0,NFL
Aaron Rodgers,86,188,101,39,18.0,QB,37500000.0,NFL
Derek Carr,78,190,98,32,9.0,QB,37500000.0,NFL
Justin Jefferson,99,185,88,24,3.0,WR,35000000.0,NFL
Nick Bosa,98,193,121,25,4.0,EDGE,34000000.0,NFL
CeeDee Lamb,90,188,91,24,3.0,WR,34000000.0,NFL
Baker Mayfield,72,185,98,28,5.0,QB,33333333.0,NFL
A.J. Brown,91,185,103,26,4.0,WR,32000000.0,NFL
Chris Jones,96,198,141,29,7.0,IDL,31750000.0,NFL
Amon-Ra St. Brown,87,183,88,23,2.0,WR,30002500.0,NFL
Tyreek Hill,98,178,87,29,7.0,WR,30000000.0,NFL
Brandon Aiyuk,86,183,91,25,3.0,WR,30000000.0,NFL
Jaylen Waddle,88,178,83,24,2.0,WR,28250000.0,NFL
Brian Burns,87,196,113,25,4.0,EDGE,28200000.0,NFL
Tristan Wirfs,92,196,145,24,3.0,RT,28125000.0,NFL
T.J. Watt,94,193,114,28,6.0,EDGE,28002750.0,NFL
Penei Sewell,86,198,147,22,2.0,RT,28000000.0,NFL
Davante Adams,97,185,98,30,9.0,WR,28000000.0,NFL
Trent Williams,98,196,145,35,13.0,LT,27553333.0,NFL
Christian Wilkins,86,193,141,27,4.0,IDL,27500000.0,NFL
D.J. Moore,86,183,95,26,5.0,WR,27500000.0,NFL
Cooper Kupp,96,188,94,30,6.0,WR,26700000.0,NFL
Christian Darrisaw,85,196,143,24,2.0,LT,26000000.0,NFL
Laremy Tunsil,95,196,142,29,7.0,LT,25000000.0,NFL
Geno Smith,81,190,100,32,10.0,QB,25000000.0,NFL
Myles Garrett,98,193,123,27,6.0,EDGE,25000000.0,NFL
DeVonta Smith,87,183,77,24,2.0,WR,25000000.0,NFL
